solar_generation,date (YYYYMMDD),hour (HHMM),variable_1,variable_2,variable_3,variable_4,variable_5
0,20130101,0,4.8,75,0.47,5.08,131.44
0,20130101,100,4.4,85,0.47,4.6,74.87
0,20130101,200,4.5,87,0.47,4.7,90.21
0,20130101,300,4.3,93,0.49,4.5,47.47
0,20130101,400,4.2,96,0.53,3.81,56.51
0,20130101,500,4.4,97,0.52,4.62,53.16
0,20130101,600,4.6,98,0.53,3.84,115.41
0,20130101,700,5.2,97,0.53,4.18,92.72
0,20130101,800,5.9,97,0.54,4.43,95.9
18.09,20130101,900,6.7,97,0.53,5.14,24.84
22.3,20130101,1000,7.2,96,0.54,5.16,86.2
24.51,20130101,1100,7.3,98,0.54,5.15,61.62
59.64,20130101,1200,7.5,98,0.53,4.92,47.1
14.61,20130101,1300,7,98,0.53,5.43,30.67
30.29,20130101,1400,5.6,96,0.53,4.84,96.56
21.76,20130101,1500,5.7,95,0.54,4.32,78.88
2.07,20130101,1600,5.6,96,0.54,4.35,61.17
0,20130101,1700,4.5,96,0.54,4.78,36.67
0,20130101,1800,4.2,96,0.54,3.39,83.76
0,20130101,1900,4.2,97,0.54,4.71,121.05
0,20130101,2000,4.1,97,0.54,4.92,103.28
0,20130101,2100,3.1,97,0.54,4.29,6.56
0,20130101,2200,1.6,98,0.53,3.67,10.92
0,20130101,2300,1,98,0.53,3.48,29.43
0,20130102,0,0.8,98,0.51,4.47,147.88
0,20130102,100,0.7,98,0.51,2.82,70.04
0,20130102,200,0.4,98,0.51,4.83,4.7
0,20130102,300,0.1,98,0.5,5.08,124.16
0,20130102,400,-0.1,99,0.5,4.97,92.52
0,20130102,500,-0.4,98,0.5,5.13,36.6
0,20130102,600,-0.7,98,0.5,4.98,105.23
0,20130102,700,-1,97,0.49,4.73,33.53
9.65,20130102,800,-1.4,95,0.49,5.55,69.64
67.68,20130102,900,-1.4,91,0.49,5.21,107.6
105.44,20130102,1000,-1,93,0.49,5.53,23.68
112.69,20130102,1100,-0.7,92,0.49,5.78,149.21
69.84,20130102,1200,-0.7,92,0.49,5.31,96.33
46.48,20130102,1300,-0.8,92,0.49,5.69,44.67
40.8,20130102,1400,-0.8,93,0.49,5.37,114.57
32.49,20130102,1500,-0.7,90,0.49,4.18,97.79
9.07,20130102,1600,-0.9,90,0.49,5.02,59.82
0,20130102,1700,-1,92,0.49,5.21,19.49
0,20130102,1800,-1,93,0.49,4.16,130.14
0,20130102,1900,-1,92,0.49,4.63,88.63
0,20130102,2000,-1,91,0.49,4.82,49.52
0,20130102,2100,-1.1,90,0.49,4.98,5.43
0,20130102,2200,-1.2,90,0.49,4.39,129.88
0,20130102,2300,-1.3,90,0.49,4.34,78.37
0,20130103,0,-1.4,88,0.49,4.25,45.98
0,20130103,100,-1.5,87,0.49,4.15,92.36
0,20130103,200,-1.7,86,0.49,4,6.98
0,20130103,300,-1.7,85,0.49,4.85,121.28
0,20130103,400,-1.8,86,0.49,4.99,102.31
0,20130103,500,-2.2,86,0.49,4.52,28.23
0,20130103,600,-2.5,88,0.49,4.06,37.39
0,20130103,700,-2.8,88,0.49,5.3,93.77
24.98,20130103,800,-2.9,87,0.49,6.15,39.85
148.38,20130103,900,-2.3,84,0.49,6.18,100.8
214.19,20130103,1000,-1.4,81,0.49,6.5,108.13
349.47,20130103,1100,-0.5,78,0.47,6.01,128.9
525.88,20130103,1200,1.1,63,0.48,6.48,83.32
501.08,20130103,1300,2.2,59,0.49,5.92,138.28
427.66,20130103,1400,3.1,56,0.48,5.95,135.96
296.73,20130103,1500,3.3,54,0.48,5.83,147.54
141.19,20130103,1600,2.7,55,0.46,4.76,6.72
17.82,20130103,1700,1.2,58,0.48,4.1,60.07
0,20130103,1800,-0.3,65,0.48,4.15,105.18
0,20130103,1900,-2.1,78,0.48,4.68,123.75
0,20130103,2000,-3.2,85,0.48,4.3,30.48
0,20130103,2100,-4.1,91,0.48,4.72,103.17
0,20130103,2200,-4.9,92,0.48,4.85,96.65
0,20130103,2300,-3.9,81,0.48,5.04,124.26
0,20130104,0,-3.9,78,0.48,4.55,140.1
0,20130104,100,-4.8,85,0.48,4.6,28.87
0,20130104,200,-6,90,0.48,5,65.85
