solar_generation,date,hour,variable_1,variable_2,variable_3,variable_4,variable_5
,20180101,0,-12.8,68,0.376,4.57,55.1386895
,20180101,100,-13.3,72,0.378,5.05,145.3355629
,20180101,200,-13.7,76,-99,4.63,69.65306003
,20180101,300,-13.8,80,0.374,4.51,44.00824853
,20180101,400,-13.8,82,0.374,4.22,54.6254842
,20180101,500,-13.7,83,0.374,4.72,126.4378484
,20180101,600,-13.9,84,0.378,4.12,91.88141271
,20180101,700,-14,85,0.372,5.73,47.45334001
,20180101,800,-13.9,85,0.375,6.16,126.811745
,20180101,900,-12.6,84,0.371,5.6,103.8337229
,20180101,1000,-11.5,79,0.37,6.11,108.3739811
,20180101,1100,-11.2,70,-99,5.79,18.97681891
,20180101,1200,-10.7,66,0.372,6.56,148.2051286
,20180101,1300,-10.1,62,0.37,6.29,40.77020463
,20180101,1400,-9.8,62,0.373,5.87,124.2361514
,20180101,1500,-9.3,58,0.367,5.36,142.6497443
,20180101,1600,-9.2,56,0.37,5.12,11.75209056
,20180101,1700,-10.5,58,0.369,5.04,115.7234429
,20180101,1800,-11.6,63,0.367,4.64,118.1806644
,20180101,1900,-12.6,68,0.363,4.05,81.76841846
,20180101,2000,-13.7,72,-99,4.62,120.0727774
,20180101,2100,-14.7,79,0.362,5.05,75.22475848
,20180101,2200,-14.6,81,0.363,5.32,35.91246884
,20180101,2300,-14.1,76,-99,5.14,42.65728682
,20180102,0,-14.5,67,-99,4.88,88.63189876
,20180102,100,-15.4,68,-99,3.44,59.4581572
,20180102,200,-15.6,70,-99,4.91,44.03109581
,20180102,300,-15.9,70,-99,4.71,124.9109842
,20180102,400,-16.1,71,-99,4.69,88.31488635
,20180102,500,-16.5,70,-99,4.92,63.3727235
,20180102,600,-16.8,72,-99,4.5,37.24225899
,20180102,700,-16.9,72,-99,5.84,86.57992792
,20180102,800,-16.4,71,-99,6.01,39.55219098
,20180102,900,-14,66,-99,6.52,28.44791997
,20180102,1000,-11.3,54,-99,6.6,68.90488865
,20180102,1100,-8.9,47,-99,5.87,59.09642972
,20180102,1200,-6.7,41,-99,5.85,47.45715933
,20180102,1300,-4.8,33,-99,5.88,130.7662691
,20180102,1400,-3.8,28,-99,6.15,9.688471596
,20180102,1500,-3.1,26,-99,6.07,56.559968
,20180102,1600,-3.2,25,-99,4.94,57.85891211
,20180102,1700,-4.3,29,-99,4.18,34.17475131
,20180102,1800,-6.4,35,-99,3.92,46.68656798
,20180102,1900,-9.4,56,-99,5.07,48.40829153
,20180102,2000,-9.7,60,-99,4.65,54.38623483
,20180102,2100,-10,55,-99,4.42,48.97189579
,20180102,2200,-11,60,-99,3.9,75.5214197
,20180102,2300,-11.6,71,-99,5.13,136.4461329
,20180103,0,-10.5,77,-99,5.21,45.76845969
,20180103,100,-10.4,78,-99,3.81,16.59710426
,20180103,200,-10.1,78,-99,4.4,117.2707268
,20180103,300,-9.7,76,-99,4.39,64.10631702
,20180103,400,-8.5,67,-99,4.31,12.82621371
,20180103,500,-8.5,59,-99,5.11,16.72469951
,20180103,600,-9.1,61,-99,4.63,42.46705417
,20180103,700,-8.6,60,-99,5.16,90.06349205
,20180103,800,-8.4,61,-99,5.95,142.7892321
,20180103,900,-7.2,58,-99,5.81,40.53846628
,20180103,1000,-5.7,51,-99,5.87,4.535903551
,20180103,1100,-3.6,40,-99,6.12,93.17101657
,20180103,1200,-2.6,31,-99,6.02,121.0302427
,20180103,1300,-2.1,27,-99,6.53,69.31589207
,20180103,1400,-1.7,28,-99,6.3,73.96760857
,20180103,1500,-1.4,33,-99,5.85,91.08395842
,20180103,1600,-1.9,33,-99,4.35,64.40673916
,20180103,1700,-2.5,33,-99,4.87,51.36021964
,20180103,1800,-3,35,-99,4.53,83.68505161
,20180103,1900,-4.1,42,-99,4.63,35.31983258
,20180103,2000,-4.1,45,-99,3.98,8.38882071
,20180103,2100,-4.5,50,-99,5.41,83.2711315
,20180103,2200,-5.1,50,-99,4.48,49.29265409
,20180103,2300,-5.8,54,-99,4.76,132.3261332
,20180104,0,-5.9,55,-99,3.9,57.96355122
,20180104,100,-6.5,59,-99,5.03,28.17978014
,20180104,200,-7.2,61,-99,4.51,35.03924974
,20180104,300,-8,64,-99,5.04,6.569429187
,20180104,400,-8.4,66,-99,4.49,73.95646324
,20180104,500,-8.9,69,-99,4.73,26.38550476
